University Faculty,Fields of Study
Accounting,"Accounting, Finance, Auditing, Taxation, Management Accounting, Financial Reporting, Corporate Governance, Risk Management, International Accounting"
Accounting and Finance,"Accounting, Finance, Financial Analysis, Risk Management, Investment, Corporate Finance, Financial Markets, Derivatives, International Finance"
Agriculture and Forestry,"Agriculture, Forestry, Agronomy, Horticulture, Animal Science, Soil Science, Agricultural Economics, Agricultural Engineering, Agroecology, Sustainable Agriculture"
Anatomy and Physiology,"Anatomy, Physiology, Histology, Embryology, Neuroanatomy, Endocrinology, Immunology, Cell Biology, Biomechanics, Biochemistry"
Animal Science,"Animal Science, Animal Nutrition, Animal Breeding, Animal Behavior, Animal Welfare, Animal Genetics, Animal Health, Animal Production, Livestock Management, Aquaculture"
Anthropology,"Anthropology, Cultural Anthropology, Biological Anthropology, Archaeology, Linguistic Anthropology, Social Anthropology, Medical Anthropology, Forensic Anthropology, Evolutionary Anthropology, Environmental Anthropology"
Archaeology,"Archaeology, Prehistory, Classical Archaeology, Historical Archaeology, Archaeological Science, Archaeological Theory, Archaeological Methods, Archaeometry, Cultural Heritage Management, Public Archaeology"
Architecture,"Architecture, Architectural Design, Architectural History, Building Technology, Urban Design, Landscape Architecture, Sustainable Design, Architectural Conservation, Architectural Engineering, Interior Design"
Architecture and Built Environment,"Architecture, Built Environment, Sustainable Design, Urban Planning, Landscape Architecture, Building Science, Construction Management, Real Estate Development, Infrastructure Planning, Facility Management"
Area Studies,"Area Studies, International Relations, Cultural Studies, Political Science, History, Sociology, Anthropology, Geography, Economics, Language Studies"
Art and Design,"Art, Design, Fine Art, Graphic Design, Fashion Design, Illustration, Photography, Animation, Ceramics, Textiles"
Artefact,"Art History, Material Culture, Archaeology, Conservation, Museum Studies, Cultural Heritage, Decorative Arts, Design History, Curatorial Studies, Visual Culture"
Arts,"Arts, Humanities, Literature, Philosophy, History, Languages, Linguistics, Cultural Studies, Media Studies, Art History"
Astronomy,"Astronomy, Astrophysics, Cosmology, Planetary Science, Space Science, Stellar Astronomy, Galactic Astronomy, Extragalactic Astronomy, Observational Astronomy, Theoretical Astronomy"
BA,"Arts, Humanities, Social Sciences, Languages, Literature, History, Philosophy, Cultural Studies, Communication Studies, Political Science"
BDes,"Design, Graphic Design, Fashion Design, Industrial Design, Interior Design, Product Design, User Experience Design, Service Design, Visual Communication, Branding"
